# time, phase, observation, A, B, F
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
6.250000000000000130e-05 5.890486225480862092e-02 1.027701012010310500e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.250000000000000026e-04 1.178097245096172418e-01 1.051837155683845060e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.875000000000000039e-04 1.767145867644258628e-01 1.072324708057068809e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
2.500000000000000052e-04 2.356194490192344837e-01 1.089092602325629322e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
3.125000000000000065e-04 2.945243112740431046e-01 1.102082674359440073e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
3.750000000000000078e-04 3.534291735288517255e-01 1.111249864461230530e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
4.375000000000000091e-04 4.123340357836603465e-01 1.116562373668706254e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
5.000000000000000104e-04 4.712388980384689674e-01 1.118001774058141162e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
5.625000000000000659e-04 5.301437602932775883e-01 1.115563072666784006e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
6.250000000000000130e-04 5.890486225480862092e-01 1.109254728812346436e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
6.874999999999999601e-04 6.479534848028948302e-01 1.099098624749492714e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
7.500000000000000156e-04 7.068583470577034511e-01 1.085129989765122982e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
8.125000000000000711e-04 7.657632093125120720e-01 1.067397277975736802e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
8.750000000000000182e-04 8.246680715673206929e-01 1.045962000250784563e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
9.374999999999999653e-04 8.835729338221293139e-01 1.020898510845014151e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.000000000000000021e-03 9.424777960769379348e-01 9.922937494799468627e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.062500000000000076e-03 1.001382658331746667e+00 9.602469397691434372e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.125000000000000132e-03 1.060287520586555177e+00 9.248692450333535486e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.187499999999999971e-03 1.119192382841363687e+00 8.862833826994529485e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.250000000000000026e-03 1.178097245096172418e+00 8.446231986207332065e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.312500000000000082e-03 1.237002107350981150e+00 8.000332027951324587e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.374999999999999920e-03 1.295906969605789660e+00 7.526680680918980126e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.437499999999999976e-03 1.354811831860598170e+00 7.026920937254871324e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.500000000000000031e-03 1.413716694115406902e+00 6.502786353377998374e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
